SCF,FL,GM,SRI,IL-3,IL-6,Noparin,TPO,IL-11
,,,,,,,,
0,0,0,0,0,100,100,100,100
,,,,,,,,
100,0,0,0,0,0,100,0,0
,,,,,,,,
0,100,0,0,0,0,0,100,0
,,,,,,,,
100,100,0,0,0,100,0,0,100
,,,,,,,,
0,0,100,0,0,100,0,0,0
,,,,,,,,
100,0,100,0,0,0,0,100,100
,,,,,,,,
0,100,100,0,0,0,100,0,100
,,,,,,,,
100,100,100,0,0,100,100,100,0
,,,,,,,,
0,0,0,100,0,0,0,0,100
,,,,,,,,
100,0,0,100,0,100,0,100,0
,,,,,,,,
0,100,0,100,0,100,100,0,0
,,,,,,,,
100,100,0,100,0,0,100,100,100
,,,,,,,,
0,0,100,100,0,0,100,100,0
,,,,,,,,
100,0,100,100,0,100,100,0,100
,,,,,,,,
0,100,100,100,0,100,0,100,100
,,,,,,,,
100,100,100,100,0,0,0,0,0
,,,,,,,,
0,0,0,0,100,0,0,0,0
,,,,,,,,
100,0,0,0,100,100,0,100,100
,,,,,,,,
0,100,0,0,100,100,100,0,100
,,,,,,,,
100,100,0,0,100,0,100,100,0
,,,,,,,,
0,0,100,0,100,0,100,100,100
,,,,,,,,
100,0,100,0,100,100,100,0,0
,,,,,,,,
0,100,100,0,100,100,0,100,0
,,,,,,,,
100,100,100,0,100,0,0,0,100
,,,,,,,,
0,0,0,100,100,100,100,100,0
,,,,,,,,
100,0,0,100,100,0,100,0,100
,,,,,,,,
0,100,0,100,100,0,0,100,100
,,,,,,,,
100,100,0,100,100,100,0,0,0
,,,,,,,,
0,0,100,100,100,100,0,0,100
,,,,,,,,
100,0,100,100,100,0,0,100,0
,,,,,,,,
0,100,100,100,100,0,100,0,0
,,,,,,,,
100,100,100,100,100,100,100,100,100
